debate_id,problem_id,transcript_file,duration,experiment_mode,timestamp,success,error
quality_synthetic_18_Why_did_Patricia_bui_debater_full_1765685547,synthetic_18_Why_did_Patricia_bui,quality_synthetic_18_Why_did_Patricia_bui_debater_full_1765685547.json,153.17086052894592,debater_full,2025-12-14T04:15:00.586383,True,
quality_synthetic_78_Which_region_did_Lun_debater_full_1765685700,synthetic_78_Which_region_did_Lun,quality_synthetic_78_Which_region_did_Lun_debater_full_1765685700.json,153.70652675628662,debater_full,2025-12-14T04:17:34.293228,True,
quality_synthetic_94_Where_did_Max_encoun_debater_full_1765685854,synthetic_94_Where_did_Max_encoun,quality_synthetic_94_Where_did_Max_encoun_debater_full_1765685854.json,143.79848313331604,debater_full,2025-12-14T04:19:58.091969,True,
quality_synthetic_52_What_characteristics_debater_full_1765685998,synthetic_52_What_characteristics,quality_synthetic_52_What_characteristics_debater_full_1765685998.json,181.91404628753662,debater_full,2025-12-14T04:23:00.006286,True,
quality_synthetic_88_What_advanced_techno_debater_full_1765686180,synthetic_88_What_advanced_techno,quality_synthetic_88_What_advanced_techno_debater_full_1765686180.json,145.94195365905762,debater_full,2025-12-14T04:25:25.948516,True,
quality_synthetic_125_What_caused_the_pest_debater_full_1765686325,synthetic_125_What_caused_the_pest,quality_synthetic_125_What_caused_the_pest_debater_full_1765686325.json,168.8133864402771,debater_full,2025-12-14T04:28:14.762193,True,
quality_synthetic_147_In_which_location_is_debater_full_1765686494,synthetic_147_In_which_location_is,quality_synthetic_147_In_which_location_is_debater_full_1765686494.json,155.0898313522339,debater_full,2025-12-14T04:30:49.852310,True,
quality_synthetic_144_What_is_the_specific_debater_full_1765686649,synthetic_144_What_is_the_specific,quality_synthetic_144_What_is_the_specific_debater_full_1765686649.json,143.35809922218323,debater_full,2025-12-14T04:33:13.210683,True,
quality_synthetic_134_What_did_Anna_attemp_debater_full_1765686793,synthetic_134_What_did_Anna_attemp,quality_synthetic_134_What_did_Anna_attemp_debater_full_1765686793.json,171.23952889442444,debater_full,2025-12-14T04:36:04.450510,True,
quality_synthetic_126_Which_region_is_NOT__debater_full_1765686964,synthetic_126_Which_region_is_NOT_,quality_synthetic_126_Which_region_is_NOT__debater_full_1765686964.json,146.00165796279907,debater_full,2025-12-14T04:38:30.452446,True,
quality_synthetic_38_Which_of_these_was_n_debater_full_1765687110,synthetic_38_Which_of_these_was_n,quality_synthetic_38_Which_of_these_was_n_debater_full_1765687110.json,169.4103548526764,debater_full,2025-12-14T04:41:19.863080,True,
quality_synthetic_11_What_does_the_film_r_debater_full_1765687279,synthetic_11_What_does_the_film_r,quality_synthetic_11_What_does_the_film_r_debater_full_1765687279.json,135.66521978378296,debater_full,2025-12-14T04:43:35.528581,True,
quality_synthetic_42_What_is_the_relation_debater_full_1765687415,synthetic_42_What_is_the_relation,quality_synthetic_42_What_is_the_relation_debater_full_1765687415.json,155.60428762435913,debater_full,2025-12-14T04:46:11.133153,True,
quality_synthetic_145_What_galaxy_is_Leah__debater_full_1765687571,synthetic_145_What_galaxy_is_Leah_,quality_synthetic_145_What_galaxy_is_Leah__debater_full_1765687571.json,148.1178276538849,debater_full,2025-12-14T04:48:39.251274,True,
quality_synthetic_2_What_was_Dr._Edwards_debater_full_1765687719,synthetic_2_What_was_Dr._Edwards,,,debater_full,2025-12-14T04:51:23.795534,False,"CUDA out of memory. Tried to allocate 18.96 GiB. GPU 4 has a total capacity of 139.73 GiB of which 18.25 GiB is free. Process 2174641 has 121.47 GiB memory in use. Of the allocated memory 101.90 GiB is allocated by PyTorch, and 18.92 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
quality_synthetic_161_What_year_was_Jonath_debater_full_1765687883,synthetic_161_What_year_was_Jonath,,,debater_full,2025-12-14T04:54:27.005398,False,"CUDA out of memory. Tried to allocate 19.10 GiB. GPU 0 has a total capacity of 139.73 GiB of which 17.67 GiB is free. Process 2174641 has 122.05 GiB memory in use. Of the allocated memory 102.32 GiB is allocated by PyTorch, and 19.07 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
quality_synthetic_49_What_didn't_surprise_debater_full_1765688067,synthetic_49_What_didn't_surprise,quality_synthetic_49_What_didn't_surprise_debater_full_1765688067.json,209.4183051586151,debater_full,2025-12-14T04:57:56.424153,True,
