debate_id,problem_id,transcript_file,duration,experiment_mode,timestamp,success
quality_synthetic_89_How_many_researchers_baseline_judge_1765384609,synthetic_89_How_many_researchers,quality_synthetic_89_How_many_researchers_baseline_judge_1765384609.json,141.03962588310242,baseline_judge,2025-12-10T16:39:10.699546,True
quality_synthetic_159_In_what_year_does_'T_baseline_judge_1765384750,synthetic_159_In_what_year_does_'T,quality_synthetic_159_In_what_year_does_'T_baseline_judge_1765384750.json,160.17965865135193,baseline_judge,2025-12-10T16:41:50.879529,True
quality_synthetic_268_What_is_the_name_of__baseline_judge_1765384910,synthetic_268_What_is_the_name_of_,quality_synthetic_268_What_is_the_name_of__baseline_judge_1765384910.json,142.33040976524353,baseline_judge,2025-12-10T16:44:13.210209,True
quality_synthetic_284_Who_is_revealed_to_b_baseline_judge_1765385053,synthetic_284_Who_is_revealed_to_b,quality_synthetic_284_Who_is_revealed_to_b_baseline_judge_1765385053.json,161.245685338974,baseline_judge,2025-12-10T16:46:54.456159,True
quality_synthetic_24_How_many_humanoid_fi_baseline_judge_1765385214,synthetic_24_How_many_humanoid_fi,quality_synthetic_24_How_many_humanoid_fi_baseline_judge_1765385214.json,156.4121699333191,baseline_judge,2025-12-10T16:49:30.868596,True
quality_synthetic_234_What_role_does_Dixon_baseline_judge_1765385370,synthetic_234_What_role_does_Dixon,quality_synthetic_234_What_role_does_Dixon_baseline_judge_1765385370.json,200.23440885543823,baseline_judge,2025-12-10T16:52:51.103298,True
quality_synthetic_209_What_is_the_name_of__baseline_judge_1765385571,synthetic_209_What_is_the_name_of_,quality_synthetic_209_What_is_the_name_of__baseline_judge_1765385571.json,190.5488429069519,baseline_judge,2025-12-10T16:56:01.652400,True
quality_synthetic_124_What_rank_does_Oscar_baseline_judge_1765385761,synthetic_124_What_rank_does_Oscar,quality_synthetic_124_What_rank_does_Oscar_baseline_judge_1765385761.json,195.66294693946838,baseline_judge,2025-12-10T16:59:17.315613,True
quality_synthetic_85_What_is_the_term_use_baseline_judge_1765385957,synthetic_85_What_is_the_term_use,quality_synthetic_85_What_is_the_term_use_baseline_judge_1765385957.json,194.929194688797,baseline_judge,2025-12-10T17:02:32.245099,True
quality_synthetic_19_How_many_attacks_had_baseline_judge_1765386152,synthetic_19_How_many_attacks_had,quality_synthetic_19_How_many_attacks_had_baseline_judge_1765386152.json,147.7097556591034,baseline_judge,2025-12-10T17:04:59.955163,True
quality_synthetic_95_Which_city_did_Vince_baseline_judge_1765386299,synthetic_95_Which_city_did_Vince,quality_synthetic_95_Which_city_did_Vince_baseline_judge_1765386299.json,145.11073446273804,baseline_judge,2025-12-10T17:07:25.066162,True
quality_synthetic_269_What_profession_is_i_baseline_judge_1765386445,synthetic_269_What_profession_is_i,quality_synthetic_269_What_profession_is_i_baseline_judge_1765386445.json,134.43218684196472,baseline_judge,2025-12-10T17:09:39.498614,True
quality_synthetic_151_What_action_was_Gibs_baseline_judge_1765386579,synthetic_151_What_action_was_Gibs,quality_synthetic_151_What_action_was_Gibs_baseline_judge_1765386579.json,193.34526896476746,baseline_judge,2025-12-10T17:12:52.844173,True
quality_synthetic_274_Who_flew_the_transpo_baseline_judge_1765386772,synthetic_274_Who_flew_the_transpo,quality_synthetic_274_Who_flew_the_transpo_baseline_judge_1765386772.json,144.03694105148315,baseline_judge,2025-12-10T17:15:16.881441,True
quality_synthetic_210_What_was_the_name_of_baseline_judge_1765386916,synthetic_210_What_was_the_name_of,quality_synthetic_210_What_was_the_name_of_baseline_judge_1765386916.json,152.8853690624237,baseline_judge,2025-12-10T17:17:49.767083,True
quality_synthetic_1_How_many_cylinders_w_baseline_judge_1765387069,synthetic_1_How_many_cylinders_w,quality_synthetic_1_How_many_cylinders_w_baseline_judge_1765387069.json,183.04992604255676,baseline_judge,2025-12-10T17:20:52.817282,True
quality_synthetic_215_What_is_the_name_of__baseline_judge_1765387252,synthetic_215_What_is_the_name_of_,quality_synthetic_215_What_is_the_name_of__baseline_judge_1765387252.json,150.85242342948914,baseline_judge,2025-12-10T17:23:23.669985,True
quality_synthetic_193_What_is_the_name_of__baseline_judge_1765387403,synthetic_193_What_is_the_name_of_,quality_synthetic_193_What_is_the_name_of__baseline_judge_1765387403.json,155.5228865146637,baseline_judge,2025-12-10T17:25:59.193143,True
quality_synthetic_227_Which_region_is_NOT__baseline_judge_1765387559,synthetic_227_Which_region_is_NOT_,quality_synthetic_227_Which_region_is_NOT__baseline_judge_1765387559.json,157.36537623405457,baseline_judge,2025-12-10T17:28:36.558786,True
quality_synthetic_104_Which_university_did_baseline_judge_1765387716,synthetic_104_Which_university_did,quality_synthetic_104_Which_university_did_baseline_judge_1765387716.json,141.62252521514893,baseline_judge,2025-12-10T17:30:58.181587,True
